C,gamma,kernel,acc_mean,bal_acc_mean,prec_mean,recall_mean,recall_std,f1_mean
5.0,0.001,rbf,0.712121212121212,0.7062678062678063,0.7489177489177489,0.7606837606837606,0.11530544925839355,0.7514245014245015
1.0,scale,rbf,0.712121212121212,0.6977920227920228,0.7310606060606061,0.8141025641025642,0.13354273497435679,0.763136288998358
1.0,auto,rbf,0.712121212121212,0.6977920227920228,0.7310606060606061,0.8141025641025642,0.13354273497435679,0.763136288998358
2.0,scale,rbf,0.6969696969696969,0.6868233618233619,0.7349121466768526,0.7884615384615384,0.09805806756909205,0.7531928480204342
2.0,auto,rbf,0.6969696969696969,0.6868233618233619,0.7349121466768526,0.7884615384615384,0.09805806756909205,0.7531928480204342
2.0,0.01,rbf,0.6969696969696969,0.6775641025641027,0.7145510835913313,0.844017094017094,0.16520839128271542,0.7573320866448497
5.0,0.01,rbf,0.6969696969696969,0.6775641025641027,0.7145510835913313,0.844017094017094,0.16520839128271542,0.7573320866448497
5.0,scale,rbf,0.6818181818181818,0.6683048433048433,0.7158645276292335,0.7884615384615384,0.09805806756909205,0.7426108374384236
5.0,auto,rbf,0.6818181818181818,0.6683048433048433,0.7158645276292335,0.7884615384615384,0.09805806756909205,0.7426108374384236
1.0,0.001,rbf,0.6666666666666666,0.6671652421652422,0.7453703703703703,0.7158119658119658,0.15529352402227883,0.7066666666666667
1.0,0.01,rbf,0.6818181818181818,0.6647435897435897,0.7071436761839238,0.8183760683760682,0.20083196816255008,0.7375692407950473
0.1,scale,linear,0.6666666666666666,0.661965811965812,0.7171717171717171,0.6794871794871794,0.1416071925280418,0.6937229437229436
0.5,scale,linear,0.6666666666666666,0.661965811965812,0.7171717171717171,0.6794871794871794,0.1416071925280418,0.6937229437229436
1.0,scale,linear,0.6666666666666666,0.661965811965812,0.7171717171717171,0.6794871794871794,0.1416071925280418,0.6937229437229436
2.0,scale,linear,0.6666666666666666,0.661965811965812,0.7171717171717171,0.6794871794871794,0.1416071925280418,0.6937229437229436
5.0,scale,linear,0.6666666666666666,0.661965811965812,0.7171717171717171,0.6794871794871794,0.1416071925280418,0.6937229437229436
0.5,scale,rbf,0.5909090909090909,0.6262108262108262,0.8148148148148148,0.39316239316239315,0.10327389721021,0.5171321053673995
0.5,auto,rbf,0.5909090909090909,0.6262108262108262,0.8148148148148148,0.39316239316239315,0.10327389721021,0.5171321053673995
2.0,0.001,rbf,0.6363636363636364,0.6201566951566951,0.6666666666666666,0.732905982905983,0.14163943093313294,0.6953492484526967
0.5,0.01,rbf,0.4696969696969697,0.5338319088319087,0.8888888888888888,0.1047008547008547,0.034849372714316436,0.18223443223443225
0.5,0.001,rbf,0.4545454545454546,0.51994301994302,0.25,0.07692307692307693,0.10878565864408425,0.11764705882352942
0.1,scale,rbf,0.42424242424242425,0.5,0.0,0.0,0.0,0.0
0.1,auto,rbf,0.42424242424242425,0.5,0.0,0.0,0.0,0.0
0.1,0.01,rbf,0.42424242424242425,0.5,0.0,0.0,0.0,0.0
0.1,0.001,rbf,0.42424242424242425,0.5,0.0,0.0,0.0,0.0
