image_path,num_hands_detected,max_confidence,flagged
data/raw_healthy_sources\healthy_0103.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0104.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0105.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0106.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0107.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0108.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0109.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0110.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0111.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0112.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0113.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0114.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0115.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0116.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0117.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0118.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0119.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0120.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0121.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0122.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0123.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0124.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0125.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0126.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0127.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0128.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0129.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0130.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0131.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0132.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0133.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0134.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0135.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0136.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0137.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0138.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0139.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0140.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0141.jpg,0,0.000,False
data/raw_healthy_sources\healthy_0142.jpg,0,0.000,False
